Variable Name,Description,Prompt,Data Type,Permisible Values,Units,Required,Unique,CDE,"Comments (Optional, Form Collection Name)"
32607-Symptoms_Ill_20,(If applicable) The participant indicates this was a first symptom related to: Red or purple rash or lesions on your toes,Did you experience this symptom first? Red or purple rash or lesions on your toes,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32608-Symptoms_Ill_21,(If applicable) The participant indicates this was a first symptom related to: Runny nose,Did you experience this symptom first? Runny nose,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32609-Symptoms_Ill_22,(If applicable) The participant indicates this was a first symptom related to: Seizures,Did you experience this symptom first? Seizures,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32610-Symptoms_Ill_23,(If applicable) The participant indicates this was a first symptom related to: Shortness of breath,Did you experience this symptom first? Shortness of breath,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32611-Symptoms_Ill_24,(If applicable) The participant indicates this was a first symptom related to: Slurred speech,Did you experience this symptom first? Slurred speech,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32612-Symptoms_Ill_25,(If applicable) The participant indicates this was a first symptom related to: Sore throat,Did you experience this symptom first? Sore throat,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32613-Symptoms_Ill_26,(If applicable) The participant indicates this was a first symptom related to: Stomach or abdominal pain,Did you experience this symptom first? Stomach or abdominal pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32614-Symptoms_Ill_27,(If applicable) The participant indicates this was a first symptom related to: Unexplained rashes anywhere else,Did you experience this symptom first? Unexplained rashes anywhere else,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32615-Symptoms_Ill_28,(If applicable) The participant indicates this was a first symptom related to: Unusual shivering or shaking,Did you experience this symptom first? Unusual shivering or shaking,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32616-Symptoms_Ill_29,(If applicable) The participant indicates this was a first symptom related to: Nausea or vomiting,Did you experience this symptom first? Nausea or vomiting,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32617-Symptoms_Ill_30,(If applicable) The participant indicates this was a first symptom related to: Wheezing,Did you experience this symptom first? Wheezing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32618-Symptoms_Ill_999,Participant declines to provide details on first symptoms,Select this if you are not willing to share your first symptoms,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
33473-_Symptom_Success,"System generated variable, not required",,Text,,,FALSE,,,Symptom Screening
32011-symptom_startdate_DEID,Number of days from day of Consent when Participant started exhibiting COVID symptoms,What was the date that your symptoms first started?,Integer,De-identified Value in Days,Days,TRUE,,,Symptom Screening
30165-Prev_Diag,Previously recovered from COVID in last 90 days,Have you recovered from COVID-19 in the last 90 days?,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30166-Prev_exposure-1,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; No","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? No",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30166-Prev_exposure-2,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with COVID-19; ","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with COVID-19; ",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30166-Prev_exposure-3,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with flu","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with flu",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30166-Prev_exposure-999,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Prefer not to answer","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30167-Mask,Mask usage status,"In the last 14 days, did you regularly wear a mask indoors, when you were not at home? 
 
This includes work/office, social gatherings, house of worship, medical facility, school, restaurants/bars, sports/recreation or any public transportation such as airlines, or ride sharing situations.",Categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30168-Distance,Social distancing compliance status,"In the last 14 days, did you maintain social distancing from other people who are not from your household in both indoor and outdoor spaces? 
 
This means a safe distance (at least 6 feet) from others.",Categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30169-Food_poison,Food poisining status in last 14 days,"In the last 14 days, did you eat or drink anything that may have given you food poisoning?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30170-Flu_shot,Flu vaccine status,Did you receive a flu shot/vaccine this season?,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30171-COVID_vaccine,COVID vaccine status,Did you receive a vaccine for COVID-19?,Categorical,"1, No; 2, Yes, both doses of a two-dose vaccine; 3, Yes, only the 1st dose of a two-dose vaccine; 4, Yes, one dose of a one-dose vaccine; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30172-COVID_vaccine_type,2-dose type vaccine received,Please specify the type of vaccine received:,Categorical,"1, Pfizer/BioNTech; 2, Moderna; 3, Other; 999, Prefer not to answer",,TRUE,,,Symptom Screening
32012-covid_2dose_specify,Other 2-dose vaccine specified,"Other 2-dose vaccine, please specify:",Text,,,TRUE,,,Symptom Screening
30175-COVID_vaccine_type_2,1-dose type vaccine recevied,Please specify the type of vaccine received:,Categorical,"1, Johnson and Johnson (J&J); 2, Other; 999, Prefer not to answer",,TRUE,,,Symptom Screening
32013-covid_1dose_specify,Other 1-dose vaccine specified,"Other 1-dose, please specify:",Text,,,TRUE,,,Symptom Screening
32014-COVID_vaccine_date_DEID,Number of days from day of Consent when Participant received a first vaccine,What was the date that you received your first COVID vaccine?,Integer,De-identified Value in Days,Days,TRUE,,,Symptom Screening
32015-covid_vaccine2_date_DEID,Number of days from day of Consent when Participant received a second vaccine,What was the date that you received your second COVID vaccine?,Integer,De-identified Value in Days,Days,TRUE,,,Symptom Screening
30182-Travel,Travel in last 14 days Domestically (outside of virginia),"In the last 14 days, did you travel to any states outside of Virginia?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30183-states_specify-3,Participant traveled in the last 14 days to the following: Arizona,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Arizona,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-6,Participant traveled in the last 14 days to the following: Colorado,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Colorado,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-9,Participant traveled in the last 14 days to the following: District of Columbia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: District of Columbia,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-10,Participant traveled in the last 14 days to the following: Florida,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Florida,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-11,Participant traveled in the last 14 days to the following: Georgia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Georgia,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-14,Participant traveled in the last 14 days to the following: Illinois,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Illinois,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-19,Participant traveled in the last 14 days to the following: Louisiana,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Louisiana,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-20,Participant traveled in the last 14 days to the following: Maine,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Maine,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-21,Participant traveled in the last 14 days to the following: Montana,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Montana,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-23,Participant traveled in the last 14 days to the following: Nevada,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Nevada,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-24,Participant traveled in the last 14 days to the following: New Hampshire,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New Hampshire,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-25,Participant traveled in the last 14 days to the following: New Jersey,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New Jersey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-27,Participant traveled in the last 14 days to the following: New York,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New York,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-28,Participant traveled in the last 14 days to the following: North Carolina,Please specify which states you traveled to (outside of Virginia) in the last 14 days: North Carolina,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-33,Participant traveled in the last 14 days to the following: Maryland,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Maryland,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-34,Participant traveled in the last 14 days to the following: Massachusetts,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Massachusetts,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-38,Participant traveled in the last 14 days to the following: Missouri,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Missouri,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-39,Participant traveled in the last 14 days to the following: Pennsylvania,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Pennsylvania,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-40,Participant traveled in the last 14 days to the following: Puerto Rico,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Puerto Rico,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-41,Participant traveled in the last 14 days to the following: Rhode Island,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Rhode Island,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-42,Participant traveled in the last 14 days to the following: South Carolina,Please specify which states you traveled to (outside of Virginia) in the last 14 days: South Carolina,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-45,Participant traveled in the last 14 days to the following: Texas,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Texas,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-50,Participant traveled in the last 14 days to the following: West Virginia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: West Virginia,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-52,Participant traveled in the last 14 days to the following: Wyoming,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Wyoming,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30183-states_specify-999,Participant traveled in the last 14 days to the following: Prefer not to answer,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30184-International,Travel in last 14 days Internationally (outside of usa),"In the last 14 days, did you travel outside of the United States?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30186-countries_specify,Countries participant traveled to in the last 14 days outside of the U.S.,"What countries outside of the U.S. did you travel to, please list:",Text,,,TRUE,,,Symptom Screening
AtHome1 Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""At-home COVID Kit Instructions and Survey"" related to At-Home Test 1",,Integer,De-identified Value in Days,Days,FALSE,,,
30725-have_allitems,"At-home COVID Test Survey #1, Status of Items required",Do you have everything shown here?,Categorical,"1, Yes; 2, No",,TRUE,,,At-home COVID Kit Instructions and Survey
30719-testkit_performing,"At-Home COVID Test Survey #1,  test specified",Please confirm which at-home COVID Test you are taking:,Categorical,"1, At-home COVID Test #1; 2, At-home COVID Test #2; 3, I am retaking my COVID Test #1",,TRUE,,,At-home COVID Kit Instructions and Survey
32007-datestart_DEID,Number of days from day of Consent when Participant started their first at-home COVID test,What is the day that you completed the first at-home COVID test?,Integer,De-identified Value in Days,Days,TRUE,,,At-home COVID Kit Instructions and Survey
32016-time_picker,Participant specified time of day string between 0:0 and 23:59,"Time of first at-home test, please specify:",String,,,TRUE,,,At-home COVID Kit Instructions and Survey
30760-blueline_results,"At-Home COVID Test Survey #1, Blue Line Status",Do you see a Blue Line on your Strip?,Categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,TRUE,,,At-home COVID Kit Instructions and Survey
30763-pinkline_results,"At-Home COVID Test Survey #1, Pink Line Status","Do you see a Pink Lineon your Strip?
Look closely, thePink Linemay bevery faint.",Categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,TRUE,,,At-home COVID Kit Instructions and Survey
30766-pinkblue_confirm,"At-Home COVID Test Survey #1, Pink and Blue Confirmation Status",Does your test strip look like one of these?,Categorical,"1, Yes; 2, No, I'm not sure; 3, I did not complete the test",,TRUE,,,At-home COVID Kit Instructions and Survey
30769-blue_nopink_confirm,"At-Home COVID Test Survey #1, No Pink, but Yes Blue Confirmation Status",Does your test strip look like this?,Categorical,"1, Yes; 2, No",,TRUE,,,At-home COVID Kit Instructions and Survey
30772-noblue_confirm,"At-Home COVID Test Survey #1, No Blue Confirmation Status",Does your test strip look one of these?,Categorical,"1, Yes; 2, No",,TRUE,,,At-home COVID Kit Instructions and Survey
30774-unable_select,"At-Home COVID Test Survey #1, Unable to complete status",We are sorry to hear that you were unable to complete the COVID Test. Could you please let us know why you were not able to complete the test?,Categorical,"1, It was too painful; 2, I didn't feel comfortable administering to myself; 3, I changed my mind, I no longer want to be in this study; 4, Other; 5, Prefer not to answer",,TRUE,,,At-home COVID Kit Instructions and Survey
32019-unable_other,Unable to complete the at-home test 1 for other reasons,"Other reasons why you couldn't complete the first at-home test, please specify:",Text,,,TRUE,,,At-home COVID Kit Instructions and Survey
30777-which_test,"At-Home COVID Test Survey #1, Confirmed test type status",Please confirm which test you just attempted to complete:,Categorical,"1, Test #1; 2, Test #2; 3, Retake of Test #1",,TRUE,,,At-home COVID Kit Instructions and Survey
30778-willing_retake,"At-Home COVID Test Survey #1, confirming retake status",Would you be willing to try another at-home test in a few days?,Categorical,"1, Yes; 2, No",,TRUE,,,At-home COVID Kit Instructions and Survey
30784-invalid_followup,"At-Home COVID Test Survey #1, Invalid Status Follow-up","Based on your response, we are not sure if your test if Positive or Negative. This can happen sometimes. Please answer a few questions to help us determine what your next steps should be. Which at-home COVID Test did you just take?",Categorical,"1, Test #1; 2, Test #2; 3, Retaking test #1",,TRUE,,,At-home COVID Kit Instructions and Survey
30785-test1_invalid,"At-Home COVID Test Survey #1, Retake Test 1 Status",Would you like to take another at-home COVID test today?,Categorical,"1, Yes; 2, No",,TRUE,,,At-home COVID Kit Instructions and Survey
Follow-up Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""Follow-up Survey""",,Integer,De-identified Value in Days,Days,FALSE,,,
31388-screening_preference_clinic,Prefers a clinic administered by health care professionals,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

At a clinic administered by health care professionals",Categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31389-screening_preference_home,Prefers an at-home using a physical test kit,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

At-home using a physical test kit",Categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31390-screening_preference_reporting,Prefers reporting symptoms only on a digital app or website,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

Reporting my symptoms only on a digital app or website",Categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31392-screening_pref_other,Other preferences for screening that participant has described,"Other preferences for screening you would consider, please describe:",Text,,,FALSE,,,Follow-up Survey
31393-join_why-1,"Participant joined the study, because of: Free COVID Testing",What made you want to join this study? (select all that apply); Free COVID Testing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-2,"Participant joined the study, because of: Payment for participating",What made you want to join this study? (select all that apply); Payment for participating,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-3,"Participant joined the study, because of: Interested in at-home COVID screening",What made you want to join this study? (select all that apply); Interested in at-home COVID screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-4,"Participant joined the study, because of: The potential benefits to me",What made you want to join this study? (select all that apply); The potential benefits to me,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-5,"Participant joined the study, because of: The potential benefits to my community",What made you want to join this study? (select all that apply); The potential benefits to my community,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-6,"Participant joined the study, because of: Study sounded interesting",What made you want to join this study? (select all that apply); Study sounded interesting,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-7,"Participant joined the study, because of: Video on the website",What made you want to join this study? (select all that apply); Video on the website,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-8,"Participant joined the study, because of: I'm not sure",What made you want to join this study? (select all that apply); I'm not sure,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-9,"Participant joined the study, because of: Other",What made you want to join this study? (select all that apply); Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31393-join_why-999,"Participant joined the study, because of: Prefer not to answer",What made you want to join this study? (select all that apply); Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
32030-join_why_other,Other reasons the participant joined the study,"Other reasons joined this study, please specify",Text,,,FALSE,,,Follow-up Survey
31396-join_hear-1,"Participant heard about the study, because of: Work",How did you hear about this study? Work,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-2,"Participant heard about the study, because of: Friends/family",How did you hear about this study? Friends/family,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-3,"Participant heard about the study, because of: Saw a printed flyer",How did you hear about this study? Saw a printed flyer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-4,"Participant heard about the study, because of: Saw an ad online",How did you hear about this study? Saw an ad online,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-5,"Participant heard about the study, because of: Social media",How did you hear about this study? Social media,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-6,"Participant heard about the study, because of: Invited by Research Staff member",How did you hear about this study? Invited by Research Staff member,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-7,"Participant heard about the study, because of: Other",How did you hear about this study? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31396-join_hear-999,"Participant heard about the study, because of: Prefer not to answer",How did you hear about this study? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
32031-join_hear_other,Other ways the participant heard about the study,"Other ways you heard about the study, please specify",Text,,,FALSE,,,Follow-up Survey
31400-challenges,Challenges that participant had,"What challenges did you have with the study, please describe:",Text,,,FALSE,,,Follow-up Survey
31401-research_before,Health research enrollment previous status,Have you ever been enrolled in a health research study before this one?,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31402-research_compare,Health research previous enroillment comparison,How did this study compare to other research studies you have participated in?,Categorical,"1, Much better; 2, Somewhat better; 3, About the same; 4, Somewhat worse; 5, Much worse; 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31404-research_moredetail,Other comparison comments to other studies,"Other comparison comments to other studies, please describe:",Text,,,FALSE,,,Follow-up Survey
31405-skipped_why-1,"Participant skipped questions on this survey, because they indicated:  I didn't understand the question(s)","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't understand the question(s)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31405-skipped_why-2,"Participant skipped questions on this survey, because they indicated: I didn't feel like answering them","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't feel like answering them",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31405-skipped_why-3,"Participant skipped questions on this survey, because they indicated: Other","If you skipped any questions on this survey, could you help us understand why? (select all that apply) Other",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31405-skipped_why-4,"Participant skipped questions on this survey, because they indicated: I didn't skip any questions","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't skip any questions",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31405-skipped_why-5,"Participant skipped questions on this survey, because they indicated: Prefer not to answer","If you skipped any questions on this survey, could you help us understand why? (select all that apply) Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
32032-skipped_other,Other reasons for skipping questions,"Other reasons that questions were skipped, please specify",Text,,,FALSE,,,Follow-up Survey
32793-,N/A,0,Text,,,FALSE,,,Follow-up Survey
31409-othercomments,Other comments provided by the participants,Any other comments that you would like to provide?,Text,,,FALSE,,,Follow-up Survey
31344-devices_own-1,Participant owns a: Laptop or desktop computer,Which of the following devices do you own? Laptop or desktop computer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31344-devices_own-2,Participant owns a: Tablet (iPad or Android),Which of the following devices do you own? Tablet (iPad or Android),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31344-devices_own-3,Participant owns a: Smartphone (iPhone or Android),Which of the following devices do you own? Smartphone (iPhone or Android),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31344-devices_own-4,Participant owns a: Mobile phone (not a smartphone),Which of the following devices do you own? Mobile phone (not a smartphone),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31344-devices_own-5,Participant owns a: Home phone (landline),Which of the following devices do you own? Home phone (landline),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31344-devices_own-999,Participant owns a: Prefer not to answer,Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31345-internet_use,Internet Usage,How often do you access the Internet to find information?,Categorical,"1, Daily; 2, 4-6 times a week; 3, 2-3 times a week; 4, Once a week; 5, Rarely; 6, Never; 999, Prefer not to answer",,TRUE,,,Follow-up Survey
31346-past12mo_tech-1,"In the past 12 months, has used tech to: Measure fitness and health goals (such as exercise, steps, diet, weight, sleep)","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Measure fitness and health goals (such as exercise, steps, diet, weight, sleep)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-2,"In the past 12 months, has used tech to: Monitor health information  (such as blood sugar, blood pressure, heart rate, oxygen, temperature, mood)","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Monitor health information  (such as blood sugar, blood pressure, heart rate, oxygen, temperature, mood)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-3,"In the past 12 months, has used tech to: Schedule alerts or reminders to take medication, or monitor health","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Schedule alerts or reminders to take medication, or monitor health",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-4,"In the past 12 months, has used tech to: Share data that you collect about your health with a provider","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Share data that you collect about your health with a provider",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-5,"In the past 12 months, has used tech to: Order a medical device or a prescription","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Order a medical device or a prescription",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-6,"In the past 12 months, has used tech to: Other health related purpose","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Other health related purpose",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-998,"In the past 12 months, has used tech to: None of the above","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  None of the above",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
31346-past12mo_tech-999,"In the past 12 months, has used tech to: Prefer not to answer","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Follow-up Survey
